"dataid";"localhour";"use";"air1";"air2";"air3";"airwindowunit1";"aquarium1";"bathroom1";"bathroom2";"bedroom1";"bedroom2";"bedroom3";"bedroom4";"bedroom5";"car1";"clotheswasher1";"clotheswasher_dryg1";"diningroom1";"diningroom2";"dishwasher1";"disposal1";"drye1";"dryg1";"freezer1";"furnace1";"furnace2";"garage1";"garage2";"gen";"grid";"heater1";"housefan1";"icemaker1";"jacuzzi1";"kitchen1";"kitchen2";"kitchenapp1";"kitchenapp2";"lights_plugs1";"lights_plugs2";"lights_plugs3";"lights_plugs4";"lights_plugs5";"lights_plugs6";"livingroom1";"livingroom2";"microwave1";"office1";"outsidelights_plugs1";"outsidelights_plugs2";"oven1";"oven2";"pool1";"pool2";"poollight1";"poolpump1";"pump1";"range1";"refrigerator1";"refrigerator2";"security1";"shed1";"sprinkler1";"utilityroom1";"venthood1";"waterheater1";"waterheater2";"winecooler1"
8236;"2014-01-01 00:00:00";0.30315000000000000000;0.00000000000000000000;;;;;;;0.00510000000000000000;0.03060000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.01971666666666666667;;;;-0.00596666666666666667;0.30315000000000000000;;;;;;;0.00400000000000000000;0.00000000000000000000;0.00360000000000000000;0.00115000000000000000;;;;;;;0.07503333333333333333;0.00790000000000000000;;;;;;;;;;;0.05156666666666666667;;;;;;;;;
8236;"2014-01-01 01:00:00";0.35856666666666666667;0.00000000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.17106666666666666667;;;;-0.00631666666666666667;0.35856666666666666667;;;;;;;0.00400000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;;;;;;;0.07475000000000000000;0.00000000000000000000;;;;;;;;;;;0.01341666666666666667;;;;;;;;;
8236;"2014-01-01 02:00:00";0.36728333333333333334;0.00000000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.17818333333333333334;;;;-0.00635000000000000000;0.36728333333333333334;;;;;;;0.00400000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;;;;;;;0.07488333333333333333;0.00000000000000000000;;;;;;;;;;;0.01628333333333333333;;;;;;;;;
8236;"2014-01-01 03:00:00";0.35033333333333333333;0.00000000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.15201666666666666667;;;;-0.00626666666666666667;0.35033333333333333333;;;;;;;0.00400000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;;;;;;;0.07496666666666666667;0.00000000000000000000;;;;;;;;;;;0.02530000000000000000;;;;;;;;;
8236;"2014-01-01 04:00:00";0.56251666666666666667;0.00000000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.36371666666666666667;;;;-0.00676666666666666667;0.56251666666666666667;;;;;;;0.00400000000000000000;0.00000000000000000000;0.00120000000000000000;0.00000000000000000000;;;;;;;0.07428333333333333334;0.00000000000000000000;;;;;;;;;;;0.02995000000000000000;;;;;;;;;
8236;"2014-01-01 05:00:00";0.57053333333333333333;0.00000000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.35681666666666666667;;;;-0.00675000000000000000;0.57053333333333333333;;;;;;;0.00400000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;;;;;;;0.07411666666666666667;0.00000000000000000000;;;;;;;;;;;0.04623333333333333333;;;;;;;;;
8236;"2014-01-01 06:00:00";0.43420000000000000000;0.00000000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.23498333333333333333;;;;-0.00650000000000000000;0.43420000000000000000;;;;;;;0.00400000000000000000;0.00000000000000000000;0.00170000000000000000;0.00000000000000000000;;;;;;;0.07461666666666666667;0.00000000000000000000;;;;;;;;;;;0.02730000000000000000;;;;;;;;;
8236;"2014-01-01 07:00:00";0.45918333333333333333;0.00000000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.23475000000000000000;;;;0.05280000000000000000;0.40103333333333333333;;;;;;;0.00400000000000000000;0.00000000000000000000;0.00033333333333333333;0.00000000000000000000;;;;;;;0.07475000000000000000;0.00000000000000000000;;;;;;;;;;;0.05396666666666666667;;;;;;;;;
8236;"2014-01-01 08:00:00";0.58985000000000000000;0.00050000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.01691666666666666667;;;;0.77358333333333333334;-0.18375000000000000000;;;;;;;0.14911666666666666667;0.00000000000000000000;0.04006666666666666667;0.01210000000000000000;;;;;;;0.17566666666666666667;0.00325000000000000000;;;;;;;;;;;0.02743333333333333333;;;;;;;;;
8236;"2014-01-01 09:00:00";0.77691666666666666667;0.000050000000000000000000;;;;;;;0.00000000000000000000;0.00000000000000000000;;;;;0.00000000000000000000;;;;0.00000000000000000000;;;;;0.01700000000000000000;;;;2.0977000000000000;-1.32049999999999997500;;;;;;;0.01096666666666666667;0.00000000000000000000;0.08401666666666666667;0.02956666666666666667;;;;;;;0.17925000000000000000;0.00000000000000000000;;;;;;;;;;;0.10905000000000000000;;;;;;;;;
